Date,Zip code,# in Group,# New,# Returns,Temperature,Weather,Date/Time,11201
2/9/2020,11238,2,,2,45,Cloudy,2/9/2020 14:59:53,
2/9/2020,11201,3,,3,45,Cloudy,2/9/2020 15:10:33,
2/9/2020,11215,2,2,,45,Cloudy,2/9/2020 15:54:34,
2/9/2020,11201,4,,4,45,Cloudy,2/9/2020 15:58:00,
2/9/2020,11201,3,,3,45,Cloudy,2/9/2020 15:58:09,
2/9/2020,11201,4,,4,45,Cloudy,2/9/2020 16:09:17,
2/9/2020,11201,2,,2,45,Cloudy,2/9/2020 16:15:08,
2/9/2020,11201,3,,3,45,Cloudy,2/9/2020 16:21:14,
2/9/2020,11231,3,,3,45,Cloudy,2/9/2020 16:23:44,
2/9/2020,11249,2,2,,45,Cloudy,2/9/2020 16:37:17,
2/11/2020,11201,2,1,1,49,cloudy,2/11/2020 15:14:25,
2/11/2020,11201,2,,2,49,cloudy,2/11/2020 15:29:08,
2/11/2020,11201,2,,2,49,cloudy,2/11/2020 15:33:49,
2/11/2020,11201,5,5,,49,cloudy,2/11/2020 15:46:15,
2/11/2020,11201,3,,3,49,cloudy,2/11/2020 16:09:02,
2/11/2020,11201,2,,2,49,cloudy,2/11/2020 16:09:38,
2/11/2020,11201,2,,2,49,cloudy,2/11/2020 16:23:52,
2/11/2020,11201,3,,2,49,cloudy,2/11/2020 16:26:42,
2/11/2020,11201,2,,2,49,cloudy,2/11/2020 16:33:32,
2/11/2020,11201,2,,2,49,cloudy,2/11/2020 16:41:20,
2/11/2020,11201,2,,2,49,cloudy,2/11/2020 16:41:32,
2/11/2020,11201,3,,3,49,cloudy,2/11/2020 16:43:12,
2/11/2020,11201,2,,2,49,cloudy,2/11/2020 16:46:41,
2/13/2020,11201,4,,4,43,Rainy,2/13/2020 15:01:27,
2/13/2020,11201,2,,2,43,Rainy,2/13/2020 15:03:35,
2/13/2019,11209,2,,2,43,Rainy,2/13/2020 15:06:23,
2/13/2020,11201,3,,3,43,Rainy,2/13/2020 15:17:51,
2/13/2019,11226,1,,1,43,Rainy,2/13/2020 15:29:41,
2/13/2020,11201,3,,3,43,Rainy,2/13/2020 15:53:38,
2/13/2019,11201,3,,3,43,Rainy,2/13/2020 16:24:58,
2/13/2020,11201,2,,2,43,Rainy,2/13/2020 16:25:43,
2/15/2020,UK,1,1,,28,Sunny,2/15/2020 13:17:06,
2/15/2020,11201,3,,3,28,Sunny,2/15/2020 13:19:41,
2/15/2020,94301,3,3,,28,Sunny,2/15/2020 13:57:27,
2/15/2020,?,2,,2,28,Sunny,2/15/2020 13:58:47,
2/15/2020,22201,2,2,,28,Sunny,2/15/2020 14:00:40,
2/15/2020,Canada,1,1,,28,Sunny,2/15/2020 14:17:07,
2/15/2020,37064,4,4,,28,Sunny,2/15/2020 15:16:50,
2/15/2020,84780,2,2,,28,Sunny,2/15/2020 15:23:20,
2/15/2020,11201,3,,3,28,Sunny,2/15/2020 15:26:54,
2/15/2020,20016,2,,2,28,Sunny,2/15/2020 15:28:04,
2/15/2020,11201,5,5,,28,Sunny,2/15/2020 15:54:51,
2/15/2020,11201,2,,2,28,Sunny,2/15/2020 15:56:38,
2/15/2020,11232,4,,4,28,Sunny,2/15/2020 15:57:58,
2/15/2020,UK,2,2,,28,Sunny,2/15/2020 16:09:39,
2/15/2020,11201,4,,4,28,Sunny,2/15/2020 16:12:00,
2/15/2020,11233,3,3,,28,Sunny,2/15/2020 16:16:33,
2/15/2020,11201,4,,4,28,Sunny,2/15/2020 16:30:53,
2/15/2020,11201,2,,2,28,Sunny,2/15/2020 16:33:03,
2/15/2020,11201,3,,3,28,Sunny,2/15/2020 16:43:42,
2/15/2020,11201,1,,1,28,Sunny,2/15/2020 16:53:14,
2/16/2020,11201,2,1,1,35,Partly Cloudy,2/16/2020 13:13:10,
2/16/2020,?,2,2,,35,Partly Cloudy,2/16/2020 13:15:29,
2/16/2020,10026,5,5,,35,Partly Cloudy,2/16/2020 13:17:43,
2/16/2020,11201,2,,2,35,Partly Cloudy,2/16/2020 13:18:31,
2/16/2020,11201,2,,2,35,Partly Cloudy,2/16/2020 13:18:33,
2/16/2020,22202,2,2,,35,Partly Cloudy,2/16/2020 13:20:37,
2/16/2020,11201,2,2,,35,Partly Cloudy,2/16/2020 13:22:32,
2/16/2020,11798,4,4,,35,Partly Cloudy,2/16/2020 13:24:38,
2/16/2020,11238,2,2,,35,Partly Cloudy,2/16/2020 13:31:51,
2/16/2020,?,1,1,,35,Partly Cloudy,2/16/2020 13:35:20,
2/16/2020,98074,3,3,,35,Partly Cloudy,2/16/2020 13:36:30,
2/16/2020,2035,2,2,,35,Partly Cloudy,2/16/2020 13:38:58,
2/16/2020,11201,2,,2,35,Partly Cloudy,2/16/2020 13:48:47,
2/16/2020,11201,2,,2,35,Partly Cloudy,2/16/2020 13:51:14,
2/16/2020,11243,2,,2,35,Partly Cloudy,2/16/2020 14:02:44,
2/16/2020,11201,2,,2,35,Partly Cloudy,2/16/2020 14:03:24,
2/16/2020,7670,3,3,,35,Partly Cloudy,2/16/2020 14:10:07,
2/16/2020,7675,4,4,,35,Partly Cloudy,2/16/2020 14:14:51,
2/16/2020,4102,3,3,,35,Partly Cloudy,2/16/2020 14:15:23,
2/16/2020,11201,3,,3,35,Partly Cloudy,2/16/2020 14:15:41,
2/16/2020,11385,2,2,,35,Partly Cloudy,2/16/2020 14:49:16,
2/16/2020,4102,3,2,1,35,Partly Cloudy,2/16/2020 14:54:03,
2/16/2020,11201,2,,2,35,Partly Cloudy,2/16/2020 14:54:23,
2/16/2020,7307,3,3,,35,Partly Cloudy,2/16/2020 14:57:56,
2/16/2020,10075,5,5,,35,Partly Cloudy,2/16/2020 15:00:12,
2/16/2020,11226,1,1,,35,Partly Cloudy,2/16/2020 15:09:46,
2/16/2020,11238,4,4,,35,Partly Cloudy,2/16/2020 15:11:39,
2/16/2020,10038,2,2,,35,Partly Cloudy,2/16/2020 15:12:53,
2/16/2020,11201,2,,2,35,Partly Cloudy,2/16/2020 15:24:23,
2/16/2020,11211,1,1,,35,Partly Cloudy,2/16/2020 15:42:39,
2/16/2020,11211,2,2,,35,Partly Cloudy,2/16/2020 15:53:04,
2/16/2020,11201,2,1,1,35,Partly Cloudy,2/16/2020 15:53:45,
2/16/2020,11238,3,3,,35,Partly Cloudy,2/16/2020 15:55:27,
2/16/2020,11201,5,,5,35,Partly Cloudy,2/16/2020 16:04:32,
2/16/2020,11201,4,4,,35,Partly Cloudy,2/16/2020 16:10:00,
2/16/2020,11209,4,3,1,35,Partly Cloudy,2/16/2020 16:10:13,
2/16/2020,11201,4,,4,35,Partly Cloudy,2/16/2020 16:12:17,
2/16/2020,UK,2,2,,35,Partly Cloudy,2/16/2020 16:13:05,
2/16/2020,10018,2,,2,35,Partly Cloudy,2/16/2020 16:20:31,
2/16/2020,11201,3,,3,35,Partly Cloudy,2/16/2020 16:21:25,
2/16/2020,11214,4,,4,35,Partly Cloudy,2/16/2020 16:23:10,
2/16/2020,11201,2,,2,35,Partly Cloudy,2/16/2020 16:38:14,
2/18/2020,11201,6,,5,48,Cloudy,2/18/2020 15:13:59,
2/18/2020,11201,2,2,,48,Cloudy,2/18/2020 15:18:07,
2/18/2020,11201,3,,3,48,Cloudy,2/18/2020 15:28:19,
2/18/2020,11201,3,3,,48,Cloudy,2/18/2020 15:37:27,
2/18/2020,11201,2,,2,48,Cloudy,2/18/2020 15:46:50,
2/18/2020,11201,3,,3,48,Cloudy,2/18/2020 15:55:01,
2/18/2020,11201,2,,2,48,Cloudy,2/18/2020 16:08:36,
2/18/2020,11201,3,,3,48,Cloudy,2/18/2020 16:36:21,
2/20/2020,11201,2,,2,36,Cloudy,2/20/2020 15:10:09,
2/20/2020,11225,3,3,,36,Cloudy,2/20/2020 15:10:09,
2/20/2020,11205,3,,3,36,Cloudy,2/20/2020 15:10:09,
2/20/2020,11201,3,3,,36,Cloudy,2/20/2020 15:10:09,
2/20/2020,11201,2,,2,36,Cloudy,2/20/2020 15:10:09,
2/20/2020,11201,2,,2,36,Cloudy,2/20/2020 15:10:09,
2/20/2020,11238,4,4,,36,Cloudy,2/20/2020 15:10:09,
2/20/2020,11201,2,1,2,36,Cloudy,2/20/2020 15:10:09,
2/20/2020,11201,2,2,,36,Cloudy,2/20/2020 15:10:09,
2/20/2020,11201,2,,2,36,Cloudy,2/20/2020 16:23:40,
2/20/2020,11209,2,,2,36,Cloudy,2/20/2020 16:31:40,
2/20/2020,11201,2,,2,36,Cloudy,2/20/2020 16:33:40,
2/20/2020,11205,2,,2,36,Cloudy,2/20/2020 16:35:44,
2/20/2020,11223,4,,4,36,Cloudy,2/20/2020 16:50:40,
2/21/2020,11201,2,,2,45,Sunny,2/22/2020 13:02:28,
2/21/2020,11236,2,,2,45,Sunny,2/22/2020 13:02:39,
2/21/2020,7931,2,,2,45,Sunny,2/22/2020 13:03:07,
2/21/2020,11215,2,2,,45,Sunny,2/22/2020 13:23:59,
2/21/2020,11201,3,,3,45,Sunny,2/22/2020 13:29:53,
2/21/2020,11201,2,1,1,45,Sunny,2/22/2020 13:34:00,
2/21/2020,11201,2,2,,45,Sunny,2/22/2020 13:44:51,
2/21/2020,11201,3,,3,45,Sunny,2/22/2020 14:00:46,
2/21/2020,11360,3,3,,45,Sunny,2/22/2020 14:07:48,
2/21/2020,11967,1,1,,45,Sunny,2/22/2020 14:11:57,
2/21/2020,11201,4,,4,45,Sunny,2/22/2020 14:28:59,
2/21/2020,11201,3,3,,45,Sunny,2/22/2020 15:14:08,
2/21/2020,11201,2,,2,45,Sunny,2/22/2020 15:15:23,
2/21/2020,11201,4,,4,45,Sunny,2/22/2020 15:21:02,
2/21/2020,11215,4,4,,45,Sunny,2/22/2020 15:26:21,
2/21/2020,11201,3,,3,45,Sunny,2/22/2020 15:27:23,
2/21/2020,11360,3,1,2,45,Sunny,2/22/2020 15:48:16,
2/21/2020,?,2,2,,45,Sunny,2/22/2020 15:53:37,
2/21/2020,11201,4,2,2,45,Sunny,2/22/2020 15:58:25,
2/21/2020,11201,3,,3,45,Sunny,2/22/2020 15:59:00,
2/21/2020,11201,2,,2,45,Sunny,2/22/2020 16:06:37,
2/21/2020,?,3,3,,45,Sunny,2/22/2020 16:06:48,
2/21/2020,11218,2,2,,45,Sunny,2/22/2020 16:10:05,
2/21/2020,10035,2,2,,45,Sunny,2/22/2020 16:20:39,
2/21/2020,94112,1,1,,45,Sunny,2/22/2020 16:20:40,
2/21/2020,11220,4,,4,45,Sunny,2/22/2020 16:25:46,
2/21/2020,11201,4,,4,45,Sunny,2/22/2020 16:28:10,
2/21/2020,11235,2,2,,45,Sunny,2/22/2020 16:30:18,
2/21/2020,Germany,3,3,,45,Sunny,2/22/2020 16:49:35,
2/23/2020,11201,3,,3,51,Sunny,2/23/2020 13:05:54,
2/23/2020,11201,3,,3,51,Sunny,2/23/2020 13:06:24,
2/23/2020,11213,4,4,,51,Sunny,2/23/2020 13:15:15,
2/23/2020,11385,8,8,,51,Sunny,2/23/2020 13:18:52,
2/23/2020,11201,2,,2,51,Sunny,2/23/2020 13:23:26,
2/23/2020,11214,2,2,,51,Sunny,2/23/2020 13:36:18,
2/23/2020,11225,2,2,,51,Sunny,2/23/2020 13:48:15,
2/23/2020,11210,4,,4,51,Sunny,2/23/2020 13:48:38,
2/23/2020,11221,3,3,,51,Sunny,2/23/2020 13:50:23,
2/23/2020,11201,3,1,2,51,Sunny,2/23/2020 13:52:56,
2/23/2020,11201,4,4,,51,Sunny,2/23/2020 13:55:51,
2/23/2020,11216,4,4,,51,Sunny,2/23/2020 13:59:01,
2/23/2020,11201,4,,4,51,Sunny,2/23/2020 14:03:54,
2/23/2020,?,5,5,,51,Sunny,2/23/2020 14:09:21,
2/23/2020,10024,2,2,,51,Sunny,2/23/2020 14:39:53,
2/23/2020,11201,2,,2,51,Sunny,2/23/2020 14:43:22,
2/23/2020,11205,4,4,,51,Sunny,2/23/2020 14:43:25,
2/23/2020,11205,3,,3,51,Sunny,2/23/2020 14:49:39,
2/23/2020,7032,2,2,,51,Sunny,2/23/2020 14:53:06,
2/23/2020,11201,5,1,4,51,Sunny,2/23/2020 15:17:52,
2/23/2020,11201,3,2,1,51,Sunny,2/23/2020 15:30:41,
2/23/2020,10016,2,,2,51,Sunny,2/23/2020 15:31:01,
2/23/2020,11201,2,,2,51,Sunny,2/23/2020 15:36:10,
