,total_visitors,total_returns,total_new,Temperature,from_11201,avg_visits_per_hour,avg_returns_per_hour,avg_new_per_hour,avg_from_11201_per_hour,ratio_11201,day,week,month,year,given_temp,precipitation,cloud_cover,snow,rain
5/12/2018,36,19,17,63.75,17,9,4.75,4.25,4.25,0.472222222,5,19,5,2018,55,0.0115,1,0,1
5/13/2018,32,18,14,54.12,27,8,4.5,3.5,6.75,0.84375,6,19,5,2018,53,0.0102,1,0,1
5/15/2018,13,10,3,87.64,8,6.5,5,1.5,4,0.615384615,1,20,5,2018,85,0.015,0.66,0,1
5/17/2018,19,15,4,70.75,13,9.5,7.5,2,6.5,0.684210526,3,20,5,2018,66,0.0156,0.74,0,1
5/19/2018,27,13,14,56.29,16,6.75,3.25,3.5,4,0.592592593,5,20,5,2018,56,0.0204,1,0,1
5/20/2018,96,49,47,81.05,33,24,12.25,11.75,8.25,0.34375,6,20,5,2018,81,0.001,0.78,0,1
5/22/2018,22,20,2,65.37,14,11,10,1,7,0.636363636,1,21,5,2018,60,0.0135,0.7,0,1
5/24/2018,13,7,6,81.6,7,6.5,3.5,3,3.5,0.538461538,3,21,5,2018,80,0.0003,0.01,0,1
5/26/2018,56,7,49,87.37,5,14,1.75,12.25,1.25,0.089285714,5,21,5,2018,84,0.0005,0.21,0,1
5/27/2018,35,15,20,75.26,13,8.75,3.75,5,3.25,0.371428571,6,21,5,2018,63,0.0163,0.88,0,1
5/29/2018,21,21,0,85.19,21,10.5,10.5,0,10.5,1,1,22,5,2018,84,0,0.54,0,0
5/31/2018,30,27,3,67.67,14,15,13.5,1.5,7,0.466666667,3,22,5,2018,67,0.0016,0.99,0,1
6/2/2018,71,24,47,84.41,16,17.75,6,11.75,4,0.225352113,5,22,6,2018,86,0.0031,0.44,0,1
6/3/2018,112,26,86,70.36,36,28,6.5,21.5,9,0.321428571,6,22,6,2018,62,0.0076,0.95,0,1
6/5/2018,21,21,0,73.33,19,10.5,10.5,0,9.5,0.904761905,1,23,6,2018,74,0.0002,0.38,0,1
6/9/2018,110,37,70,80,18,27.5,9.25,17.5,4.5,0.163636364,5,23,6,2018,78,0,0.22,0,0
6/10/2018,93,44,48,70.04,41,23.25,11,12,10.25,0.440860215,6,23,6,2018,71,0.0009,0.85,0,1
6/12/2018,12,8,4,72.77,12,6,4,2,6,1,1,24,6,2018,73,0,0.08,0,0
6/14/2018,47,35,12,83.99,34,23.5,17.5,6,17,0.723404255,3,24,6,2018,84,0.0008,0.21,0,1
6/16/2018,103,25,78,82.27,22,25.75,6.25,19.5,5.5,0.213592233,5,24,6,2018,79,0.0006,0.11,0,1
6/17/2018,96,32,62,87.65,30,24,8,15.5,7.5,0.3125,6,24,6,2018,85,0.0003,0.09,0,1
6/19/2018,31,17,14,86.87,18,15.5,8.5,7,9,0.580645161,1,25,6,2018,87,0.002,0.39,0,1
6/21/2018,25,21,4,83.12,21,12.5,10.5,2,10.5,0.84,3,25,6,2018,83,0.0109,0.63,0,1
6/23/2018,40,17,23,76.11,16,10,4.25,5.75,4,0.4,5,25,6,2018,65,0.0023,0.97,0,1
6/24/2018,57,26,31,83.15,21,14.25,6.5,7.75,5.25,0.368421053,6,25,6,2018,81,0.0043,0.8,0,1
6/26/2018,53,43,10,75.09,31,26.5,21.5,5,15.5,0.58490566,1,26,6,2018,76,0,0.17,0,0
6/28/2018,39,23,16,81.7,16,19.5,11.5,8,8,0.41025641,3,26,6,2018,79,0.0228,0.77,0,1
6/30/2018,54,7,37,91.56,6,13.5,1.75,9.25,1.5,0.111111111,5,26,6,2018,87,0,0.06,0,0
7/1/2018,54,21,33,94.52,17,13.5,5.25,8.25,4.25,0.314814815,6,26,7,2018,94,0,0.13,0,0
7/3/2018,22,8,14,89.92,6,11,4,7,3,0.272727273,1,27,7,2018,85,0.0123,0.27,0,1
7/5/2018,39,16,23,87.69,12,19.5,8,11.5,6,0.307692308,3,27,7,2018,87,0,0.42,0,0
7/7/2018,120,33,81,74.91,12,30,8.25,20.25,3,0.1,5,27,7,2018,74,0,0.04,0,0
7/8/2018,84,15,61,80.53,6,21,3.75,15.25,1.5,0.071428571,6,27,7,2018,78,0,0.03,0,0
7/10/2018,27,16,11,91,16,13.5,8,5.5,8,0.592592593,1,28,7,2018,92,0,0.06,0,0
7/12/2018,47,37,9,82.73,31,23.5,18.5,4.5,15.5,0.659574468,3,28,7,2018,81,0.0013,0.53,0,1
7/14/2018,56,22,33,88.32,9,14,5.5,8.25,2.25,0.160714286,5,28,7,2018,85,0,0.23,0,0
7/15/2018,87,32,52,83.21,38,21.75,8,13,9.5,0.436781609,6,28,7,2018,73,0.0237,0.58,0,1
7/17/2018,12,4,8,86.4,4,6,2,4,2,0.333333333,1,29,7,2018,73,0.0236,0.59,0,1
7/19/2018,61,14,47,80.27,17,30.5,7,23.5,8.5,0.278688525,3,29,7,2018,81,0,0.02,0,0
7/21/2018,113,23,88,75.52,18,28.25,5.75,22,4.5,0.159292035,5,29,7,2018,76,0.0086,0.57,0,1
7/22/2018,80,25,55,81.23,11,20,6.25,13.75,2.75,0.1375,6,29,7,2018,78,0.0356,0.94,0,1
7/24/2018,32,13,19,82.15,18,16,6.5,9.5,9,0.5625,1,30,7,2018,82,0.0021,0.8,0,1
7/26/2018,57,30,27,85.25,27,28.5,15,13.5,13.5,0.473684211,3,30,7,2018,84,0.0028,0.64,0,1
7/28/2018,74,25,48,84.6,18,18.5,6.25,12,4.5,0.243243243,5,30,7,2018,82,0.0007,0.47,0,1
7/29/2018,87,32,48,80.74,19,21.75,8,12,4.75,0.218390805,6,30,7,2018,80,0,0.36,0,0
7/31/2018,31,16,15,79.72,22,15.5,8,7.5,11,0.709677419,1,31,7,2018,80,0,0.38,0,0
