Date,Zip code,# in Group,# New,# Returns,Temperature,Weather
3/12/2016,11377,2,,,,
3/12/2016,11223,3,,,,
3/12/2016,8209,6,,,,
3/12/2016,11201,1,,,,
3/12/2016,11220,7,,,,
3/12/2016,10024,2,,,,
3/12/2016,11214,3,,,,
3/12/2016,10032,3,,,,
3/12/2016,11211,4,,,,
3/12/2016,D.C.,1,,,,
3/13/2016,"""Unknown""",8,103,20,60,Cloudy
3/13/2016,11201,38,,,,
3/13/2016,11231,9,,,,
3/13/2016,10282,2,,,,
3/13/2016,11217,9,,,,
3/13/2016,10027,4,,,,
3/13/2016,7058,4,,,,
3/13/2016,11232,3,,,,
3/13/2016,11209,2,,,,
3/13/2016,7901,1,,,,
3/13/2016,11233,2,,,,
3/13/2016,10002,4,,,,
3/13/2016,10026,10,,,,
3/13/2016,10025,3,,,,
3/13/2016,11220,3,,,,
3/13/2016,90404,3,,,,
3/13/2016,10032,2,,,,
3/13/2016,11230,5,,,,
3/13/2016,11237,1,,,,
3/13/2016,44107,2,,,,
3/13/2016,11235,1,,,,
3/13/2016,11210,5,,,,
3/13/2016,Canada,2,,,,
3/15/2016,"""Unknown""",4,12,10,54,Windy
3/15/2016,11210,15,,,,
3/15/2016,78757,3,,,,
3/17/2016,"""Unknown""",0,8,14,59,Cloudy
3/17/2016,11201,18,,,,
3/17/2016,11204,4,,,,
3/19/2016,"""Unknown""",0,68,48,54,fair
3/19/2016,11201,58,,,,
3/19/2016,10013,2,,,,
3/19/2016,10002,3,,,,
3/19/2016,11204,1,,,,
3/19/2016,11218,2,,,,
3/19/2016,7512,1,,,,
3/19/2016,7506,1,,,,
3/19/2016,34895,2,,,,
3/19/2016,11208,1,,,,
3/19/2016,10025,1,,,,
3/19/2016,11106,3,,,,
3/19/2016,11215,5,,,,
3/19/2016,11230,1,,,,
3/19/2016,20015,5,,,,
3/19/2016,11224,1,,,,
3/19/2016,10303,1,,,,
3/19/2016,10304,1,,,,
3/19/2016,10528,4,,,,
3/19/2016,11203,3,,,,
3/19/2016,11378,2,,,,
3/19/2016,11231,4,,,,
3/19/2016,11106,3,,,,
3/19/2016,20007,2,,,,
3/19/2016,71467,3,,,,
3/19/2016,9073,3,,,,
3/19/2016,7731,4,,,,
3/19/2016,Montreal,1,,,,
3/19/2016,UK,1,,,,
3/20/2016,"""Unknown""",0,57,23,57,cloudy
3/20/2016,11201,42,,,,
3/20/2016,11213,2,,,,
3/20/2016,11201,2,,,,
3/20/2016,11205,3,,,,
3/20/2016,10452,3,,,,
3/20/2016,10028,2,,,,
3/20/2016,10704,4,,,,
3/20/2016,50648,2,,,,
3/20/2016,11216,5,,,,
3/20/2016,11354,4,,,,
3/20/2016,92130,2,,,,
3/20/2016,78526,2,,,,
3/20/2016,11223,2,,,,
3/20/2016,Korea,7,,,,
3/20/2016,UK,2,,,,
3/22/2016,"""Unknown""",0,6,26,48,sunny 
3/22/2016,11201,25,,,,
3/22/2016,11208,1,,,,
3/22/2016,11206,2,,,,
3/22/2016,12524,1,,,,
3/22/2016,11211,2,,,,
3/22/2016,Denmark,1,,,,
3/24/2016,"""Unknown""",0,21,21,54,cloudy
3/24/2016,11201,24,,,,
3/24/2016,10463,2,,,,
3/24/2016,11217,2,,,,
3/24/2016,14225,4,,,,
3/24/2016,10044,2,,,,
3/24/2016,11236,2,,,,
3/24/2016,55306,3,,,,
3/24/2016,Uk,3,,,,
3/26/2016,"""Unknown""",12,65,28,52,overcast
3/26/2016,11201,18,,,,
3/26/2016,11385,4,,,,
3/26/2016,10026,5,,,,
3/26/2016,91403,4,,,,
3/26/2016,10128,2,,,,
3/26/2016,20815,2,,,,
3/26/2016,1810,1,,,,
3/26/2016,11209,2,,,,
3/26/2016,87121,1,,,,
3/26/2016,10013,3,,,,
3/26/2016,44615,2,,,,
3/26/2016,8750,4,,,,
3/26/2016,11037,3,,,,
3/26/2016,10028,2,,,,
3/26/2016,11215,2,,,,
3/26/2016,11238,2,,,,
3/26/2016,11214,4,,,,
3/26/2016,11231,2,,,,
3/26/2016,10037,2,,,,
3/26/2016,11211,1,,,,
3/26/2016,11692,4,,,,
3/26/2016,19004,4,,,,
3/26/2016,10128,1,,,,
3/26/2016,K1Y0B9,2,,,,
3/26/2016,N68598,3,,,,
3/26/2016,Paris,1,,,,
3/27/2016,"""Unknown""",6,80,40,48,overcast
3/27/2016,11201,44,,,,
3/27/2016,11231,1,,,,
3/27/2016,11373,3,,,,
3/27/2016,11215,6,,,,
3/27/2016,10010,3,,,,
3/27/2016,10002,3,,,,
3/27/2016,11226,2,,,,
3/27/2016,11101,2,,,,
3/27/2016,11223,5,,,,
3/27/2016,34128,1,,,,
3/27/2016,11379,2,,,,
3/27/2016,11249,2,,,,
3/27/2016,28226,5,,,,
3/27/2016,97116,2,,,,
3/27/2016,10026,4,,,,
3/27/2016,97116,2,,,,
3/27/2016,11374,4,,,,
3/27/2016,23320,1,,,,
3/27/2016,11213,3,,,,
3/27/2016,10452,5,,,,
3/27/2016,11238,3,,,,
3/27/2016,10502,3,,,,
3/27/2016,11228,3,,,,
3/27/2016,Germany,2,,,,
3/27/2016,Canada,2,,,,
3/27/2016,Rhode Island,1,,,,
3/29/2016,"""Unknown""",0,4,8,55,Sunny/windy
3/29/2016,11201,12,,,,
3/31/2016,"""Unknown""",1,25,20,66,cloudy
3/31/2016,11201,28,,,,
3/31/2016,8854,4,,,,
3/31/2016,11104,3,,,,
3/31/2016,11236,3,,,,
3/31/2016,11109,4,,,,
3/31/2016,11218,2,,,,
4/2/2016,"""Unknown""",1,45,29,54,overcast
4/2/2016,11201,34,,,,
4/2/2016,11230,5,,,,
4/2/2016,7108,2,,,,
4/2/2016,11205,2,,,,
4/2/2016,6082,2,,,,
4/2/2016,10003,2,,,,
4/2/2016,95928,2,,,,
4/2/2016,11428,4,,,,
4/2/2016,10005,4,,,,
4/2/2016,10044,2,,,,
4/2/2016,10027,1,,,,
4/2/2016,10013,2,,,,
4/2/2016,11214,2,,,,
4/2/2016,11232,2,,,,
4/2/2016,11218,2,,,,
4/2/2016,10009,3,,,,
4/2/2016,Canada,2,,,,
4/3/2016,"""Unknown""",2,44,31,39,very windy
4/3/2016,11201,41,,,,
4/3/2016,11216,3,,,,
4/3/2016,5673,2,,,,
4/3/2016,11217,4,,,,
4/3/2016,7024,1,,,,
4/3/2016,18210,2,,,,
4/3/2016,11218,3,,,,
4/3/2016,11205,3,,,,
4/3/2016,11215,5,,,,
4/3/2016,France,4,,,,
4/3/2016,UK,1,,,,
4/3/2016,Australia,4,,,,
4/5/2016,"""Unknown""",0,6,8,44,sunny
4/5/2016,11201,10,,,,
4/5/2016,11206,2,,,,
4/5/2016,11249,1,,,,
4/5/2016,92130,1,,,,
4/7/2016,"""Unknown""",0,1,22,55,stormy
4/7/2016,11201,23,,,,
4/9/2016,"""Unknown""",0,3,6,38,rainy
4/9/2016,11201,7,,,,
4/9/2016,11234,2,,,,
4/10/2016,"""Unknown""",1,53,47,48,sunny
4/10/2016,11201,60,,,,
4/10/2016,11231,3,,,,
4/10/2016,11375,1,,,,
4/10/2016,60615,2,,,,
4/10/2016,60637,1,,,,
4/10/2016,10021,3,,,,
4/10/2016,6801,2,,,,
4/10/2016,11225,2,,,,
4/10/2016,11215,3,,,,
4/10/2016,11225,4,,,,
4/10/2016,11205,2,,,,
4/10/2016,8724,1,,,,
4/10/2016,11103,2,,,,
4/10/2016,11209,5,,,,
4/10/2016,11314,3,,,,
4/10/2016,12533,1,,,,
4/10/2016,94024,2,,,,
4/10/2016,Vermont,2,,,,
4/12/2016,11201,2,,2,54,Sunny
4/12/2016,11201,3,,3,,
4/12/2016,11201,2,2,,,
4/12/2016,11201,4,,4,,
4/12/2016,11201,2,,2,,
4/12/2016,11201,2,,2,,
4/12/2016,11201,2,,2,,
4/12/2016,England,2,2,,,
4/14/2016,11205,3,3,,54,Sunny
4/14/2016,11225,2,2,,,
4/14/2016,11201,2,2,,,
4/14/2016,10016,2,2,,,
4/14/2016,11201,4,,4,,
4/14/2016,10009,2,2,,,
4/14/2016,11201,3,,3,,
4/14/2016,11201,4,,4,,
4/14/2016,11201,2,,2,,
4/14/2016,11201,3,,3,,
4/14/2016,11201,2,,1,,
4/16/2016,11201,1,1,,64,Sunny
4/16/2016,11204,5,5,,,
4/16/2016,11201,3,3,,,
4/16/2016,11201,4,,4,,
4/16/2016,11203,2,2,,,
4/16/2016,11201,2,2,,,
4/16/2016,11201,2,2,,,
4/16/2016,8817,2,2,,,
4/16/2016,11201,2,2,,,
4/16/2016,11218,4,4,,,
4/16/2016,11203,3,3,,,
4/16/2016,11375,5,2,3,,
4/16/2016,11249,4,4,,,
4/16/2016,11201,3,,3,,
4/16/2016,11228,2,2,,,
4/16/2016,11229,3,3,,,
4/16/2016,11201,4,4,,,
4/16/2016,11372,3,3,,,
4/16/2016,11201,2,,2,,
4/16/2016,11201,2,,2,,
4/16/2016,11378,4,4,,,
4/16/2016,11215,2,2,,,
4/16/2016,11710,5,5,,,
4/16/2016,10312,1,1,,,
4/16/2016,11201,2,2,,,
4/16/2016,11201,2,,2,,
4/16/2016,10314,3,3,,,
4/16/2016,11215,3,3,,,
4/16/2016,11201,2,,2,,
4/16/2016,11201,2,2,,,
4/16/2016,11215,3,3,,,
4/16/2016,11418,2,2,,,
4/16/2016,11201,7,,7,,
4/16/2016,11375,2,2,,,
4/16/2016,11201,2,,2,,
4/16/2016,11226,2,2,,,
4/16/2016,11232,3,2,1,,
4/16/2016,10462,1,1,,,
4/16/2016,11215,2,2,,,
4/16/2016,11201,3,,3,,
4/16/2016,11218,2,2,,,
4/16/2016,11215,3,3,,,
4/16/2016,England,2,2,,,
4/16/2016,Denmark,1,1,,,
4/17/2016,1752,6,5,1,70,Sunny
4/17/2016,11201,3,,3,,
4/17/2016,11207,3,3,,,
4/17/2016,11212,2,2,,,
4/17/2016,11726,1,1,,,
4/17/2016,11222,1,1,,,
4/17/2016,11201,1,1,,,
4/17/2016,11201,1,1,,,
4/17/2016,11566,2,2,,,
4/17/2016,11418,4,4,,,
4/17/2016,11201,3,3,,,
4/17/2016,11201,4,,4,,
4/17/2016,11201,2,2,,,
4/17/2016,11212,2,,2,,
4/17/2016,11201,3,3,,,
4/17/2016,11201,2,,2,,
4/17/2016,11221,8,8,,,
4/17/2016,11201,2,2,,,
4/17/2016,11230,1,1,,,
4/17/2016,11275,3,,3,,
4/17/2016,11102,1,1,,,
4/17/2016,11201,3,,3,,
4/17/2016,10026,1,1,,,
4/17/2016,11209,1,1,,,
4/17/2016,11249,2,2,,,
4/17/2016,11201,3,,3,,
4/17/2016,11201,3,3,,,
4/17/2016,11201,3,,3,,
4/17/2016,11223,3,3,,,
4/17/2016,11216,2,2,,,
