Entry Id,How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),"Children's ages, if applicable.",Age appropriate?,How often do you visit and why?,Check All That Apply,Check All That Apply,Check All That Apply,Check All That Apply,Any additional comments,Surveyor,Date,Day,Time,Date Created,Created By,Last Updated,Updated By,IP Address,Last Page Accessed,Completion Status
19,,,,,,Other,"3,5",Extremely,often,,Special programs during Open Hours,,,n/a love it used to visit all the time,S,2018-09-01,Sat,3pm,2018-12-08 12:43:26,BBP Conservancy Education,,,98.116.200.159,1,1
20,,,Passerby,,,,n/a,Very,first time,,,Self-guided outdoor activities,,,S,2018-09-01,Sat,3pm,2018-12-08 12:43:58,BBP Conservancy Education,,,98.116.200.159,1,1
21,Word of Mouth,,,,,,7,Very,"not often, not in Brooklyn too much",,Special programs during Open Hours,Self-guided outdoor activities,,,S,2018-09-02,Sun,4pm,2018-12-08 12:44:44,BBP Conservancy Education,,,98.116.200.159,1,1
22,Word of Mouth,,,,,,"4,5",Very,weekly,,Special programs during Open Hours,Self-guided outdoor activities,,,S,2018-09-01,Sat,3pm,2018-12-08 12:45:24,BBP Conservancy Education,,,98.116.200.159,1,1
23,,,,BBP Website,,,7,Extremely,with company,,Special programs during Open Hours,Self-guided outdoor activities,,Thanks for wonderful center,S,2018-09-02,Sun,4pm,2018-12-08 12:46:04,BBP Conservancy Education,,,98.116.200.159,1,1
24,,,Passerby,,,,16mo,Extremely,the past few sundays for activities!,,Special programs during Open Hours,,Weekend morning classes,great space!,S,2018-09-02,Sun,5pm,2018-12-08 12:46:54,BBP Conservancy Education,,,98.116.200.159,1,1
25,,,Passerby,,,,"2,4",Extremely,one a month,,Special programs during Open Hours,Self-guided outdoor activities,,wonderful place love it,S,2018-09-01,Sat,3pm,2018-12-08 12:47:28,BBP Conservancy Education,,,98.116.200.159,1,1
26,,,Passerby,,,,"9,6,4",Extremely,,,Special programs during Open Hours,,,My kids had a great time especially in the heat outside was a gald visit in the cool,CT,2018-08-30,Thur,5pm,2018-12-08 12:48:19,BBP Conservancy Education,,,98.116.200.159,1,1
27,,,Passerby,,,,"2,5",Extremely,first time - we'll be back,,,,,zip 11217,,,Sun,,2018-12-08 12:48:56,BBP Conservancy Education,,,98.116.200.159,1,1
28,,Internet Search,,,,,"3,11",Very,We like that learn about animals and the waterway.,,Special programs during Open Hours,,,,S,2018-09-02,Sun,3pm,2018-12-08 12:49:49,BBP Conservancy Education,,,98.116.200.159,1,1
29,Word of Mouth,,,,,,"4,5",Very,"A lot during winter, sometimes in summer",,Special programs during Open Hours,,Weekend morning classes,,S,2018-09-01,Sat,3pm,2018-12-08 12:50:23,BBP Conservancy Education,,,98.116.200.159,1,1
30,,,,BBP Website,,,"3,5",Moderately,1 or 2 times per week. because they enjoy it,,Special programs during Open Hours,,Weekend morning classes,If it were open more days or later (5:30pm?),CT,2018-08-30,Tues,4pm,2018-12-08 12:51:25,BBP Conservancy Education,,,98.116.200.159,1,1
31,,,,BBP Website,Blog/Message Board/Article,,2,Moderately,I will visit frequently on free afternoons,,Special programs during Open Hours,Self-guided outdoor activities,Weekend morning classes,Facility very instrumental in introducing children to the sea world,CT,2018-08-30,Thur,5pm,2018-12-08 12:52:28,BBP Conservancy Education,,,98.116.200.159,1,1
32,,,,BBP Website,Blog/Message Board/Article,Other,6,Extremely,6 times a year. we come for special exhibits/activities as well as in addition to toehr parts of the park/playground,,,Self-guided outdoor activities,Weekend morning classes,"we love visiting - think its a great mix of activities, live animals, books, etc",S,2018-09-02,Sun,5pm,2018-12-08 12:53:30,BBP Conservancy Education,,,98.116.200.159,1,1
